"lemma","présent","passécomposé","futur","subjonctif"
"enceindre","j`enceins, nous enceignons","j`ai enceint","j`enceindrai","que j`enceigne"
"empreindre","j`empreins, nous empreignons","j`ai empreint","j`empreindrai","que j`empreigne"
"feindre","je feins, nous feignons","j`ai feint","je feindrai","que je feigne"
"geindre","je geins, nous geignons","j`ai geint","je geindrai","que je geigne"
"teindre","je teins, nous teignons","j`ai teint","je teindrai","que je teigne"
"déteindre","je déteins, nous déteignons","j`ai déteint","je déteindrai","que je déteigne"
"éteindre","j`éteins, nous éteignons","j`ai éteint","j`éteindrai","que j`éteigne"
"reteindre","je reteins, nous reteignons","j`ai reteint","je reteindrai","que je reteigne"
"plaire","je plais, nous plaisons","j`ai plu","je plairai","que je plaise"
"complaire","je complais, nous complaisons","j`ai complu","je complairai","que je complaise"
"déplaire","je déplais, nous déplaisons","j`ai déplu","je déplairai","que je déplaise"
"taire","je tais, nous taisons","j`ai tu","je tairai","que je taise"
"pleuvoir","il pleut","il a plu","il pleuvra","qu’il pleuve"
"repleuvoir","il repleut","il a replu","il repleuvra","qu’il repleuve"
"pourvoir","je pourvois, nous pourvoyons","j`ai pourvu","je pourvoirai","je pourvoie"
"dépourvoir","je dépourvois, nous dépourvoyons","j`ai dépourvu","je dépourvoirai","je dépourvoie"
"pouvoir","je peux, nous pouvons","j`ai pu","je pourrai","que je puisse"
"prendre","je prends, nous prenons","j’ai pris","je prendrai","que je prenne, que nous prenions"
"apprendre","j`apprends, nous apprenons","j’ai appris","j`apprendrai","que j`apprenne, que nous apprenions"
"comprendre","je comprends, nous comprenons","j’ai compris","je comprendrai","que je comprenne, que nous comprenions"
"détendre","je détends, nous détendons","j’ai détendu","je détendrai","que je détende, que nous détendions"
"déprendre","je déprends, nous déprenons","j’ai dépris","je déprendrai","que je déprenne, que nous déprenions"
"désapprendre","je désapprends, nous désapprenons","j’ai désappris","je désapprendrai","que je désapprenne, que nous désapprenions"
"entreprendre","j`entreprends, nous entreprenons","j’ai entrepris","j`entreprendrai","que j`entreprenne, que nous entreprenions"
"s’éprendre","je m`éprends, nous nous éprenons","je me suis épris","je m`éprendrai","que je m`éprenne, que nous nous éprenions"
"se méprendre","je me méprends, nous nous méprenons","je me suis mépris","je me méprendrai","que je me méprenne, que nous nous méprenions"
"réapprendre","je réapprends, nous réapprenons","j’ai réappris","je réapprendrai","que je réapprenne, que nous réapprenions"
"reprendre","je reprends, nous reprenons","j’ai repris","je reprendrai","que je reprenne, que nous reprenions"
"surprendre","je surprends, nous surprenons","j’ai surpris","je surprendrai","que je surprenne, que nous surprenions"
"recevoir","je reçois, nous recevons","j’ai reçu","je recevrai","que je reçoive, que nous recevions"
"apercevoir","j`aperçois, nous apercevons","j’ai aperçu","j`apercevrai","que j`aperçoive, que nous apercevions"
"concevoir","je conçois, nous concevons","j’ai conçu","je concevrai","que je conçoive, que nous concevions"
"décevoir","je déçois, nous décevons","j’ai déçu","je décevrai","que je déçoive, que nous décevions"
